Title,Price,Bedrooms,Bathrooms,Area,Location,Property_Type
"5 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat",1600,5.0,6.0,450 Sq. M.,"Qurum, Muscat",Villa
"4 Bedroom Apartment For Rent in Bosher, Muscat",950,4.0,5.0,280 Sq. M.,"Bosher, Muscat",Apartment
"3 Bedrooms Villa For Rent Al Khuwair, Muscat",550,3.0,2.0,495 Sq. M.,"Al Khuwair, Muscat",Villa
"2 Bedrooms Apartment For Rent Barr Al Jissah, Muscat",800,2.0,4.0,200 Sq. M.,"Barr Al Jissah, Muscat",Apartment
"3 Bedroom Apartment For Rent Madinat As Sultan Qaboos, Muscat",850,3.0,5.0,275 Sq. M.,"Qurum, Muscat",Apartment
"3 Bedrooms Chalet For Rent in Barka, Al Batinah",60,3.0,7.0,300 Sq. M.,"Barka, Al Batinah",Other
"3 Bedrooms Apartment For Rent Muscat Hills, Muscat",850,3.0,3.0,200 Sq. M.,"Muscat Hills, Muscat",Apartment
"3 Bedrooms Villa For Rent Qurum, Muscat",500,3.0,3.0,300 Sq. M.,"Qurum, Muscat",Villa
"3 Bedrooms Apartment For Rent Bosher, Muscat",275,3.0,3.0,95 Sq. M.,"Bosher, Muscat",Apartment
"1 Bedroom Apartment For Rent Al Ghubrah, Muscat",120,1.0,1.0,"5,000 Sq. M.","Al Ghubrah, Muscat",Apartment
"Residential Land For Rent in Misfah, Muscat",350,,,400 Sq. M.,"Misfah, Muscat",Other
2 Bedrooms Apartment For Rent Muscat - Other,340,2.0,8.0,153 Sq. M.,"Muscat - Other, Muscat",Apartment
"3 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat",600,3.0,3.0,159 Sq. M.,"Qurum, Muscat",Villa
1 Bedroom Apartment For Rent Qurum Muscat,150,1.0,1.0,120 Sq. M.,"Salalah, Dhofar",Apartment
"5 Bedroom Villa For Rent in Al Hail, Muscat",500,5.0,5.0,600 Sq. M.,"Al Hail, Muscat",Villa
"2 Bedroom Apartment For Rent in Ansab, Muscat",220,2.0,3.0,100 Sq. M.,"Ansab, Muscat",Apartment
"3 Bedrooms Villa For Rent Bosher, Muscat",1250,3.0,4.0,162 Sq. M.,"Bosher, Muscat",Villa
"2 Bedroom Apartment For Rent in Al Maabilah, Muscat",140,2.0,2.0,100 Sq. M.,"Al Maabilah, Muscat",Apartment
3 Bedrooms Apartment For Rent Muscat (The Wave (Almouj)),950,3.0,3.0,200 Sq. M.,"Qurum, Muscat",Apartment
"2 Bedroom Apartment For Rent Al Khoud, Muscat",110,2.0,1.0,80 Sq. M.,"Al Khoud, Muscat",Apartment
"1 Bedroom Apartment For Rent Al Ghubrah, Muscat",275,1.0,1.0,80 Sq. M.,"Al Ghubrah, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Sifah, Muscat",50,2.0,2.0,120 Sq. M.,"Al Sifah, Muscat",Apartment
"2 Bedrooms Chalet For Rent in Al Sifah, Muscat",50,2.0,2.0,250 Sq. M.,"Al Sifah, Muscat",Other
2 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),850,2.0,3.0,118 Sq. M.,"Qurum, Muscat",Apartment
"5 Bedroom Villa For Rent in Qurum, Muscat",600,5.0,5.0,350 Sq. M.,"Qurum, Muscat",Villa
7 Bedroom Villa For Rent in The Wave (Almouj) Muscat,3000,7.0,9.0,560 Sq. M.,The Wave (Almouj) Muscat,Villa
"2 Bedroom Apartment For Rent in Salalah, Dhofar",50,2.0,1.0,100 Sq. M.,"Salalah, Dhofar",Apartment
"1 Bedroom Apartment For Rent in Ghala, Muscat",220,1.0,2.0,75 Sq. M.,"Ghala, Muscat",Apartment
"1 Bedroom Chalet For Rent in Barka, Al Batinah",50,1.0,3.0,600 Sq. M.,"Barka, Al Batinah",Other
"1 Bedroom Apartment For Rent in Muscat Hills, Muscat",460,1.0,2.0,78 Sq. M.,"Muscat Hills, Muscat",Apartment
"2 Bedrooms Apartment For Rent Qurum, Muscat",400,2.0,2.0,120 Sq. M.,"Qurum, Muscat",Apartment
"3 Bedroom Chalet For Rent in Qurayyat, Muscat",50,3.0,3.0,"2,000 Sq. M.","Qurayyat, Muscat",Other
3 Bedrooms Chalet For Rent Al Hail Muscat,55,3.0,4.0,"4,000 Sq. M.","Al Hail, Muscat",Other
"1 Bedroom Apartment For Rent in Muscat Hills, Muscat",425,1.0,2.0,75 Sq. M.,"Muscat Hills, Muscat",Apartment
"3 Bedrooms Apartment For Rent Madinat As Sultan Qaboos, Muscat",850,3.0,4.0,200 Sq. M.,"Qurum, Muscat",Apartment
"2 Bedroom Apartment For Rent in Azaiba, Muscat",225,2.0,1.0,90 Sq. M.,"Al Khuwair, Muscat",Apartment
"2 Bedroom Apartment For Rent Al Hail, Muscat",450,2.0,2.0,150 Sq. M.,"Al Hail, Muscat",Apartment
"3 Villa For Rent Qurum, Muscat",1200,3.0,5.0,385 Sq. M.,"Qurum, Muscat",Villa
2 Bedrooms Apartment For Rent Muscat Qurum,250,2.0,2.0,95 Sq. M.,"Qurum, Muscat",Apartment
3 Bedrooms Apartment For Rent Azaiba Muscat,300,3.0,3.0,250 Sq. M.,"Azaiba, Muscat",Apartment
3 Bedroom Apartment For Rent Al Khuwair Muscat,340,3.0,3.0,200 Sq. M.,"Al Khuwair, Muscat",Apartment
"2 Bedroom Chalet For Rent in Sumail, Al Dakhiliya",50,2.0,3.0,600 Sq. M.,"Sumail, Al Dakhiliya",Other
"5 Bedroom Villa For Rent in The Wave (Almouj), Muscat",1800,5.0,6.0,400 Sq. M.,"The Wave (Almouj), Muscat",Villa
"5 Bedrooms Villa For Rent in Sumail, Al Dakhiliya",500,5.0,6.0,316 Sq. M.,"Sumail, Al Dakhiliya",Villa
3 Bedroom Villa For Rent Qurum Muscat,500,3.0,5.0,300 Sq. M.,"Qurum, Muscat",Villa
"2 Bedroom Apartment For Rent in Qurum, Muscat",270,2.0,1.0,100 Sq. M.,"Al Khoud, Muscat",Apartment
"2 Bedrooms Chalet For Rent in Barka, Al Batinah",50,2.0,6.0,"2,000 Sq. M.","Barka, Al Batinah",Other
"2 Bedroom Apartment For Rent Bosher, Muscat",320,2.0,2.0,120 Sq. M.,"Bosher, Muscat",Apartment
"2 Bedrooms Apartment For Rent Qurum, Muscat",280,2.0,1.0,250 Sq. M.,"Qurum, Muscat",Apartment
"6 Bedrooms Villa For Rent in Al Amarat, Muscat",355,6.0,7.0,290 Sq. M.,"Al Amarat, Muscat",Villa
8 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,2500,8.0,9.0,500 Sq. M.,"Qurum, Muscat",Villa
"3 Bedrooms Apartment For Rent Salalah, Dhofar",55,3.0,3.0,150 Sq. M.,"Salalah, Dhofar",Apartment
"2 Bedrooms Apartment For Rent Barr Al Jissah, Muscat",850,2.0,2.0,200 Sq. M.,"Barr Al Jissah, Muscat",Apartment
"4 Bedrooms Villa For Rent in Qurum, Muscat",1200,4.0,5.0,650 Sq. M.,"Qurum, Muscat",Villa
"4 Bedrooms Villa For Rent in Qurum, Muscat",1200,4.0,5.0,650 Sq. M.,"Qurum, Muscat",Villa
"5 Bedroom Villa For Rent in Al Khoud, Muscat",500,5.0,6.0,450 Sq. M.,"Al Khoud, Muscat",Villa
"5 Bedroom Villa For Rent in The Wave (Almouj), Muscat",1900,5.0,5.0,600 Sq. M.,"The Wave (Almouj), Muscat",Villa
1 Bedroom Villa For Rent in Al Hail Muscat,280,1.0,2.0,100 Sq. M.,"Al Hail, Muscat",Villa
1 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),700,1.0,2.0,95 Sq. M.,"Qurum, Muscat",Apartment
1 Bedroom Apartment For Rent Al Khuwair Muscat,195,1.0,1.0,95 Sq. M.,"Al Khuwair, Muscat",Apartment
"1 Bedroom Apartment For Rent Al Seeb, Muscat",100,1.0,1.0,65 Sq. M.,"Al Seeb, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat",275,2.0,2.0,111 Sq. M.,"Al Khuwair, Muscat",Apartment
"2 Bedroom Apartment For Rent Saham, Al Batinah",135,2.0,1.0,"5,000 Sq. M.","Saham, Al Batinah",Apartment
"1 Bedroom Apartment For Rent in Taqah, Dhofar",300,1.0,1.0,90 Sq. M.,"Taqah, Dhofar",Apartment
3 Bedrooms Apartment For Rent Al Hail Muscat,450,3.0,3.0,300 Sq. M.,"Al Hail, Muscat",Apartment
"2 Bedroom Chalet For Rent Sur, Al Sharqiya",50,2.0,3.0,151 Sq. M.,"Sur, Al Sharqiya",Other
4 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,699,4.0,5.0,350 Sq. M.,"Qurum, Muscat",Villa
"5 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",1500,5.0,6.0,555 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
"2 Bedroom Chalet For Rent in Sohar, Al Batinah",50,2.0,4.0,"2,000 Sq. M.","Sohar, Al Batinah",Other
"3 Bedroom Apartment For Rent in Ruwi, Muscat",255,3.0,3.0,120 Sq. M.,"Ruwi, Muscat",Apartment
"2 Bedrooms Apartment For Rent in Qurum, Muscat",425,2.0,2.0,120 Sq. M.,"Qurum, Muscat",Apartment
"3 Bedroom Villa For Rent in Qurum, Muscat",770,3.0,5.0,250 Sq. M.,"Qurum, Muscat",Villa
"2 Bedrooms Apartment For Rent Muscat Hills, Muscat",520,2.0,3.0,119 Sq. M.,"Muscat Hills, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat",50,2.0,2.0,80 Sq. M.,"Al Ghubrah, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Maabilah, Muscat",200,2.0,3.0,10 Sq. M.,"Al Maabilah, Muscat",Apartment
"2 Bedroom Apartment For Rent Al Ghubrah, Muscat",390,2.0,3.0,120 Sq. M.,"Al Ghubrah, Muscat",Apartment
"5 Bedrooms Villa For Rent in Azaiba, Muscat",1400,5.0,7.0,400 Sq. M.,"Azaiba, Muscat",Villa
"2 Bedroom Apartment For Rent in Ruwi, Muscat",250,2.0,3.0,109 Sq. M.,"Ruwi, Muscat",Apartment
9 Bedrooms Villa For Rent Muscat - Madinat As Sultan Qaboos,2500,9.0,12.0,595 Sq. M.,"Qurum, Muscat",Villa
"9 Bedroom Villa For Rent in Bosher, Muscat",850,9.0,6.0,670 Sq. M.,"Bosher, Muscat",Villa
"4 Bedrooms Villa For Rent in Qurum, Muscat",1199,4.0,5.0,400 Sq. M.,"Qurum, Muscat",Villa
6 Bedroom Villa For Rent in The Wave (Almouj) Muscat,5000,6.0,10.0,900 Sq. M.,The Wave (Almouj) Muscat,Villa
6 Bedroom Villa For Rent Azaiba Muscat,900,6.0,7.0,400 Sq. M.,"Azaiba, Muscat",Villa
"1 Bedroom Apartment For Rent Muscat Hills, Muscat",450,1.0,2.0,85 Sq. M.,"Muscat Hills, Muscat",Apartment
"3 Bedrooms Villa For Rent Bosher, Muscat",700,3.0,4.0,300 Sq. M.,"Bosher, Muscat",Villa
"5 Bedroom Villa For Rent Al Khoud, Muscat",2000,5.0,6.0,"1,800 Sq. M.","Al Khoud, Muscat",Villa
2 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),700,2.0,2.0,130 Sq. M.,"Qurum, Muscat",Apartment
"Residential Land For Rent in Barka, Al Batinah",1999,,,"5,000 Sq. M.","Barka, Al Batinah",Other
"2 Bedroom Apartment For Rent Ansab, Muscat",220,2.0,3.0,145 Sq. M.,"Ansab, Muscat",Apartment
"3 Bedrooms Villa For Rent Qurum, Muscat",1200,3.0,5.0,300 Sq. M.,"Qurum, Muscat",Villa
"3 Bedroom Villa For Rent Bosher, Muscat",1250,3.0,4.0,250 Sq. M.,"Bosher, Muscat",Villa
"6 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",1499,6.0,8.0,749 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
4 Bedrooms Villa For Rent Al Amarat Muscat,190,4.0,5.0,"15,000 Sq. M.","Al Amarat, Muscat",Villa
"3 Bedrooms Villa For Rent in Salalah, Dhofar",80,3.0,3.0,200 Sq. M.,"Salalah, Dhofar",Villa
"1 Bedroom Apartment For Rent Al Ghubrah, Muscat",100,1.0,1.0,120 Sq. M.,"Al Ghubrah, Muscat",Apartment
"3 Bedrooms Apartment For Rent Bosher, Muscat",855,3.0,3.0,159 Sq. M.,"Bosher, Muscat",Apartment
"3 Bedrooms Apartment For Rent Bosher, Muscat",600,3.0,4.0,159 Sq. M.,"Bosher, Muscat",Apartment
"3 Bedrooms Villa For Rent Al Hail, Muscat",550,3.0,4.0,857 Sq. M.,"Al Hail, Muscat",Villa
2 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),1150,2.0,3.0,109 Sq. M.,"Qurum, Muscat",Apartment
4 Bedrooms Villa For Rent Muscat (The Wave (Almouj)),1299,4.0,4.0,337 Sq. M.,"Qurum, Muscat",Villa
"2 Bedroom Apartment For Rent Al Mawaleh, Muscat",230,2.0,3.0,200 Sq. M.,"Al Mawaleh, Muscat",Apartment
"2 Bedroom Apartment For Rent in Qantab, Muscat",850,2.0,2.0,200 Sq. M.,"Qantab, Muscat",Apartment
"4 Bedrooms Villa For Rent Qurum, Muscat",555,4.0,5.0,300 Sq. M.,"Qurum, Muscat",Villa
"1 Bedroom Apartment For Rent in Sohar, Al Batinah",150,1.0,1.0,35 Sq. M.,"Sohar, Al Batinah",Apartment
"6 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",1999,6.0,8.0,650 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
4 Bedrooms Villa For Rent Qurum Muscat,1200,4.0,5.0,290 Sq. M.,"Qurum, Muscat",Villa
"10 Bedrooms Villa For Rent Azaiba, Muscat",2000,10.0,10.0,659 Sq. M.,"Azaiba, Muscat",Villa
3 Bedrooms Villa For Rent Bosher - Muscat,850,3.0,4.0,159 Sq. M.,"Bosher, Muscat",Villa
"8-Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",2199,8.0,9.0,700 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
"3 Bedroom Apartment For Rent in Al Maabilah, Muscat",170,3.0,3.0,133 Sq. M.,"Al Maabilah, Muscat",Apartment
"2 Bedroom Apartment For Rent Al Maabilah, Muscat",115,2.0,1.0,90 Sq. M.,"Al Maabilah, Muscat",Apartment
"6 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",1100,6.0,6.0,500 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
"2 Bedroom Apartment For Rent Qurum, Muscat",380,2.0,2.0,96 Sq. M.,"Qurum, Muscat",Apartment
"2 Bedroom Apartment For Rent in Taqah, Dhofar",450,2.0,2.0,120 Sq. M.,"Taqah, Dhofar",Apartment
"3 Bedrooms Apartment For Rent Al Khoud, Muscat",600,3.0,5.0,300 Sq. M.,"Bosher, Muscat",Apartment
"5 Bedrooms Villa For Rent Qurum, Muscat",1599,5.0,5.0,465 Sq. M.,"Barr Al Jissah, Muscat",Villa
4 Bedrooms Villa For Rent Azaiba Muscat,700,4.0,4.0,200 Sq. M.,"Azaiba, Muscat",Villa
"1 Bedroom Apartment For Rent in Misfah, Muscat",135,1.0,1.0,56 Sq. M.,"Misfah, Muscat",Apartment
"5 Bedrooms Villa For Rent Bosher, Muscat",550,5.0,6.0,300 Sq. M.,"Bosher, Muscat",Villa
"2 Bedrooms Apartment For Rent Ruwi, Muscat",230,2.0,2.0,120 Sq. M.,"Ruwi, Muscat",Apartment
1 Bedroom Apartment For Rent Al Ghubrah Muscat,130,1.0,1.0,20 Sq. M.,"Al Ghubrah, Muscat",Apartment
2 Bedroom Apartment For Rent Al Ghubrah Muscat,275,2.0,2.0,100 Sq. M.,"Al Ghubrah, Muscat",Apartment
"1 Bedroom Apartment For Rent in Al Khuwair, Muscat",220,1.0,2.0,85 Sq. M.,"Al Khuwair, Muscat",Apartment
2 Bedroom Apartment For Rent Azaiba Muscat,540,2.0,2.0,150 Sq. M.,"Azaiba, Muscat",Apartment
"4 Bedroom Villa For Rent in Ibra, Al Sharqiya",100,4.0,2.0,210 Sq. M.,"Ibra, Al Sharqiya",Villa
"3 Bedrooms Chalet For Rent in Barka, Al Batinah",70,3.0,2.0,350 Sq. M.,"Barka, Al Batinah",Other
"2 Bedroom Apartment For Rent in Sohar, Al Batinah",100,2.0,2.0,45 Sq. M.,"Sohar, Al Batinah",Apartment
"4 Bedrooms Chalet For Rent in Barka, Al Batinah",60,4.0,8.0,"5,000 Sq. M.","Barka, Al Batinah",Other
2 Bedrooms Apartment For Rent Muscat (The Wave (Almouj)),1150,2.0,3.0,139 Sq. M.,"Qurum, Muscat",Apartment
1 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),650,1.0,2.0,65 Sq. M.,"Qurum, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Amarat, Muscat",80,2.0,2.0,120 Sq. M.,"Al Amarat, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat",700,2.0,2.0,109 Sq. M.,"Al Ghubrah, Muscat",Apartment
"1 Bedroom Apartment For Rent in Ruwi, Muscat",200,1.0,2.0,59 Sq. M.,"Ruwi, Muscat",Apartment
"4 Bedrooms Villa For Rent in Madinat As Sultan Qaboos, Muscat",950,4.0,5.0,300 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
"3 Bedrooms Apartment For Rent Al Hail, Muscat",300,3.0,2.0,100 Sq. M.,"Al Hail, Muscat",Apartment
"4 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat",800,4.0,5.0,300 Sq. M.,"Qurum, Muscat",Villa
"5 Bedrooms Villa For Rent Azaiba, Muscat",550,5.0,6.0,300 Sq. M.,"Azaiba, Muscat",Villa
"5 Bedrooms Villa For Rent Al Amarat, Muscat",490,5.0,7.0,363 Sq. M.,"Al Amarat, Muscat",Villa
"1 Bedroom Chalet For Rent Al Mudaibi, Al Sharqiya",50,1.0,3.0,600 Sq. M.,"Al Mudaibi, Al Sharqiya",Other
"2 Bedroom Villa For Rent Al Mawaleh, Muscat",320,2.0,3.0,123 Sq. M.,"Al Mawaleh, Muscat",Villa
"2 Bedrooms Apartment For Rent Bosher, Muscat",215,2.0,2.0,100 Sq. M.,"Bosher, Muscat",Apartment
"5 Bedroom Villa For Rent Bosher, Muscat",550,5.0,6.0,300 Sq. M.,"Bosher, Muscat",Villa
"3 Bedroom Apartment For Rent Al Maabilah, Muscat",165,3.0,2.0,100 Sq. M.,"Al Maabilah, Muscat",Apartment
"1 Bedroom Apartment For Rent in Muscat Hills, Muscat",475,1.0,2.0,78 Sq. M.,"Muscat Hills, Muscat",Apartment
"5 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",700,5.0,5.0,300 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
"2 Bedrooms Apartment For Rent Mahdhah, Al Buraimi",85,2.0,1.0,120 Sq. M.,"Mahdhah, Al Buraimi",Apartment
"4 Bedroom Villa For Rent Bosher, Muscat",750,4.0,6.0,500 Sq. M.,"Qurum, Muscat",Villa
"3 Bedrooms Chalet For Rent in Salalah, Dhofar",80,3.0,4.0,600 Sq. M.,"Salalah, Dhofar",Other
"1 Bedroom Apartment For Rent Darsait, Muscat",135,1.0,1.0,65 Sq. M.,"Darsait, Muscat",Apartment
"Residential Land For Rent in Barka, Al Batinah",50000,,,"40,761 Sq. M.","Barka, Al Batinah",Other
"1 Bedroom Apartment For Rent in Ruwi, Muscat",100,1.0,1.0,60 Sq. M.,"Ruwi, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat",250,2.0,2.0,109 Sq. M.,"Al Ghubrah, Muscat",Apartment
"2 Bedrooms Apartment For Rent in Salalah, Dhofar",50,2.0,3.0,120 Sq. M.,"Salalah, Dhofar",Apartment
"2 Bedroom Apartment For Rent in Salalah, Dhofar",50,2.0,3.0,110 Sq. M.,"Salalah, Dhofar",Apartment
"1 Bedroom Apartment For Rent in Al Khuwair, Muscat",280,1.0,1.0,65 Sq. M.,"Al Khuwair, Muscat",Apartment
"Residential Land For Rent in Sohar, Al Batinah",800,,,"3,300 Sq. M.","Sohar, Al Batinah",Other
1 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),700,1.0,2.0,63 Sq. M.,"Qurum, Muscat",Apartment
"5 Bedroom Villa For Rent in Ansab, Muscat",500,5.0,6.0,459 Sq. M.,"Ansab, Muscat",Villa
"4 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",1499,4.0,5.0,555 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
"2 Bedrooms Apartment For Rent Barr Al Jissah, Muscat",800,2.0,2.0,200 Sq. M.,"Barr Al Jissah, Muscat",Apartment
4 Bedrooms Villa For Rent Al Seeb Muscat,550,4.0,4.0,325 Sq. M.,"Al Seeb, Muscat",Villa
"2 Bedrooms Apartment For Rent Al Wadi Al Kabir, Muscat",330,2.0,3.0,109 Sq. M.,"Al Wadi Al Kabir, Muscat",Apartment
3 Bedrooms Apartment For Rent Bosher - Muscat,950,3.0,2.0,139 Sq. M.,"Bosher, Muscat",Apartment
"5 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat",1400,5.0,6.0,459 Sq. M.,"Qurum, Muscat",Villa
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat",220,2.0,2.0,109 Sq. M.,"Al Khuwair, Muscat",Apartment
"4 Bedroom Villa For Rent in Bosher, Muscat",850,4.0,5.0,244 Sq. M.,"Bosher, Muscat",Villa
"1 Bedroom Apartment For Rent Muscat Hills, Muscat",390,1.0,2.0,77 Sq. M.,"Muscat Hills, Muscat",Apartment
"5 Bedrooms Villa For Rent Muscat Hills, Muscat",1250,5.0,6.0,425 Sq. M.,"Muscat Hills, Muscat",Villa
"4 Bedrooms Chalet For Rent Al Maabilah, Muscat",80,4.0,9.0,"1,600 Sq. M.","Al Maabilah, Muscat",Other
"2 Bedrooms Apartment For Rent Qurum, Muscat",350,2.0,3.0,130 Sq. M.,"Qurum, Muscat",Apartment
"8 Bedrooms Villa For Rent Azaiba, Muscat",1200,8.0,4.0,450 Sq. M.,"Azaiba, Muscat",Villa
"5 Bedrooms Villa For Rent in Madinat As Sultan Qaboos, Muscat",1199,5.0,7.0,450 Sq. M.,"Bosher, Muscat",Villa
"7 Bedrooms Villa For Rent in Al Mawaleh, Muscat",800,7.0,8.0,500 Sq. M.,"Al Mawaleh, Muscat",Villa
"7 Bedroom Villa For Rent in Qurum, Muscat",1750,7.0,6.0,550 Sq. M.,"Qantab, Muscat",Villa
"6 Bedrooms Villa For Rent in Qurum, Muscat",1450,6.0,7.0,463 Sq. M.,"Qurum, Muscat",Villa
"3 Bedroom Villa For Rent Bosher, Muscat",750,3.0,4.0,240 Sq. M.,"Bosher, Muscat",Villa
"8 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",1999,8.0,9.0,750 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
3 Bedrooms Villa For Rent Muscat (The Wave (Almouj)),1150,3.0,4.0,356 Sq. M.,"Qurum, Muscat",Villa
"6 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",1600,6.0,7.0,435 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
"6 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat",1300,6.0,8.0,430 Sq. M.,"Qurum, Muscat",Villa
"1 Bedroom Apartment For Rent Azaiba, Muscat",150,1.0,1.0,140 Sq. M.,"Azaiba, Muscat",Apartment
"1 Bedrooms Apartment For Rent Azaiba, Muscat",250,1.0,1.0,80 Sq. M.,"Azaiba, Muscat",Apartment
"2 Bedrooms Chalet For Rent Sumail, Al Dakhiliya",50,2.0,3.0,200 Sq. M.,"Sumail, Al Dakhiliya",Other
"3 Bedrooms Villa For Rent Qurum, Muscat",1200,3.0,5.0,300 Sq. M.,"Qurum, Muscat",Villa
"2 Bedroom Villa For Rent in Muscat Hills, Muscat",600,2.0,2.0,172 Sq. M.,"Muscat Hills, Muscat",Villa
"2 Bedrooms Apartment For Rent Qurum, Muscat",390,2.0,2.0,110 Sq. M.,"Qurum, Muscat",Apartment
"2 Bedroom Apartment For Rent in Al Maabilah, Muscat",200,2.0,3.0,100 Sq. M.,"Al Maabilah, Muscat",Apartment
"5 Bedrooms Villa For Rent Qurum, Muscat",1700,5.0,5.0,550 Sq. M.,"Qurum, Muscat",Villa
"3 Bedroom Villa For Rent in Qurum, Muscat",700,3.0,3.0,150 Sq. M.,"Qurum, Muscat",Villa
"2 Bedroom Apartment For Rent in Sohar, Al Batinah",100,2.0,2.0,100 Sq. M.,"Sohar, Al Batinah",Apartment
"3 Bedrooms Apartment For Rent Ghala, Muscat",350,3.0,4.0,180 Sq. M.,"Ghala, Muscat",Apartment
"3 Bedrooms Villa For Rent Al Maabilah, Muscat",400,3.0,4.0,680 Sq. M.,"Al Maabilah, Muscat",Villa
"1 Bedroom Apartment For Rent Bosher, Muscat",300,1.0,2.0,65 Sq. M.,"Bosher, Muscat",Apartment
"1 Bedroom Apartment For Rent in Bosher, Muscat",300,1.0,2.0,63 Sq. M.,"Bosher, Muscat",Apartment
"3 Bedroom Apartment For Rent Al Khoud, Muscat",200,3.0,3.0,100 Sq. M.,"Al Khoud, Muscat",Apartment
"5 Bedrooms Villa For Rent in Al Mawaleh, Muscat",500,5.0,5.0,451 Sq. M.,"Al Mawaleh, Muscat",Villa
"7 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",1499,7.0,8.0,650 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
"3 Bedrooms Apartment For Rent in Al Ghubrah, Muscat",450,3.0,3.0,250 Sq. M.,"Al Ghubrah, Muscat",Apartment
"4 Bedrooms Villa For Rent Ruwi, Muscat",350,4.0,4.0,170 Sq. M.,"Ruwi, Muscat",Villa
"3 Bedroom Apartment For Rent in Darsait, Muscat",300,3.0,3.0,160 Sq. M.,"Darsait, Muscat",Apartment
"1 Bedroom Apartment For Rent Al Khoud, Muscat",230,1.0,2.0,90 Sq. M.,"Ghala, Muscat",Apartment
"4 Bedrooms Villa For Rent Bosher, Muscat",850,4.0,5.0,275 Sq. M.,"Bosher, Muscat",Villa
"1 Bedroom Apartment For Rent Madinat As Sultan Qaboos, Muscat",400,1.0,2.0,11 Sq. M.,"Qurum, Muscat",Apartment
3 Bedroom Apartment For Rent Qurum Muscat,500,3.0,3.0,200 Sq. M.,"Qurum, Muscat",Apartment
5 Bedrooms Villa For Rent The Wave (Almouj) Muscat,1800,5.0,5.0,10 Sq. M.,"Qurum, Muscat",Villa
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat",220,2.0,2.0,100 Sq. M.,"Al Ghubrah, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Maabilah, Muscat",140,2.0,2.0,88 Sq. M.,"Al Maabilah, Muscat",Apartment
3 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,555,3.0,3.0,300 Sq. M.,"Qurum, Muscat",Villa
4 Bedrooms Apartment For Rent in The Wave (Almouj) Muscat,1200,4.0,4.0,145 Sq. M.,The Wave (Almouj) Muscat,Apartment
"5 Bedrooms Villa For Rent Qurum, Muscat",1250,5.0,6.0,410 Sq. M.,"Qurum, Muscat",Villa
"3 Bedroom Apartment For Rent Madinat As Sultan Qaboos, Muscat",850,3.0,4.0,159 Sq. M.,"Qurum, Muscat",Apartment
2 Bedroom Apartment For Rent Al Maabilah Muscat,220,2.0,3.0,100 Sq. M.,"Al Maabilah, Muscat",Apartment
